,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,s_DC1,S_DC1,s_DC2,S_DC2,s_r1,S_r1,profit
81,349,403,253,212,514,327,531,163,274,194,134,503,883,2123,1193,1815,684,1830,1114798
82,242,355,287,566,216,450,143,505,207,191,220,160,834,2311,873,2205,805,1500,1993591
83,275,380,313,249,222,342,428,339,180,350,341,412,924,2532,657,2248,1231,2288,1909114
84,80,75,332,85,84,229,136,201,95,97,94,47,481,803,326,905,315,740,807232
85,15570,26195,26897,20886,31396,18265,37859,15540,10638,15086,26926,22362,80531,126486,79057,155146,76620,134047,126236144
86,33165,22092,15057,9938,37968,41540,16011,16355,20149,17828,43710,19264,69872,173233,82177,151663,96233,158199,172540537
87,31519,20926,23144,18256,16944,31133,30982,7817,18349,25908,11066,11550,63701,134092,57386,104816,68998,109325,111769216
88,12735,19604,8204,6910,30709,40898,39243,6942,18724,8246,20959,45390,51299,166280,67227,141638,79528,150026,129503426
89,44069,1177,9930,2116,30308,15946,25973,14030,33540,6816,10621,9804,66768,99006,57785,86920,54220,87736,105201933
90,10267,11421,8512,3027,8856,7655,7880,5667,3182,10893,7422,5018,16521,45997,19955,39365,17191,41673,28426809
91,8605,7411,10023,2776,11452,1328,6987,5869,3731,5667,15073,2468,26126,34277,23607,51313,15252,35498,48739162
92,13504,12784,1300,8465,13380,6486,10262,1093,4596,4729,3376,238,21047,39111,16625,52510,26402,48249,28957793
93,3433,8915,9314,6629,4720,5070,8834,3604,1998,4060,4405,3769,21005,38073,16994,34147,19850,39342,27763961
94,9241,1004,6691,5977,2092,11717,1872,2001,6346,1518,251,1205,15960,22195,13700,20969,9984,27775,22550654
95,5716,15325,32240,29146,5183,18227,21502,16139,25944,13096,21929,23310,58251,121037,54479,130884,41139,114366,124982898
96,13785,21581,20124,38021,10216,15690,20254,6828,3498,32290,7241,23872,62415,126279,38923,116248,56701,121805,98769705
97,16848,19818,12756,24120,8325,20374,41900,24411,23470,25223,14437,24497,63291,139917,79030,135986,48306,149139,123907333
98,10890,20214,22047,34417,4650,11195,21098,22182,19900,17475,20116,17991,69977,143793,59058,130944,68789,98702,111339783
99,28098,15312,48278,12859,692,17064,16982,31503,35678,7732,23330,13902,45118,145225,58932,124809,42149,124583,137979127
100,13315,18569,14506,10165,14341,16092,17888,22385,18446,10959,12627,20831,56035,86581,44992,96722,52001,122354,109735351
101,9428,17102,18547,16087,8240,48827,16194,12185,13779,18304,14760,25951,63645,123783,66315,140205,60112,105291,100595426
102,10055,12697,9573,9089,11521,11060,16280,16598,23282,8715,27063,12357,40733,75901,35368,79611,47344,74341,96990861
103,11206,19501,17256,12168,18615,10007,19118,22014,26265,17469,10820,13749,39867,84029,63212,105372,64053,101729,92048478
104,10980,11012,15712,10916,9999,10574,8537,9710,19984,10645,7587,7224,37873,71183,28578,60299,28261,75539,72740525
105,15537,25579,25499,40934,43070,24516,31675,40298,36573,35598,38212,38620,121962,218815,69131,165161,127411,188458,189555650
