,RL_no_season,RL_no_season_24,RL_poisson_no_season,RL_no_season_poisson_lead_time,RL_poisson_no_season_poisson_lead_time
53,104818.00000000001,21980.333333333343,100596.99999999999,92760.66666666669,101240.66666666664
54,101112.3333333333,22617.666666666664,101679.6666666667,75658.0,90688.3333333334
55,107094.99999999994,21605.666666666675,100979.00000000001,104035.33333333334,94698.99999999996
56,101707.00000000003,22934.000000000007,103399.66666666669,90440.66666666666,97103.33333333336
57,109719.0,22688.000000000004,102371.33333333334,101657.66666666669,87057.00000000001
58,106639.66666666669,24539.33333333334,93204.33333333337,104229.33333333334,98474.66666666667
59,102182.66666666672,23057.666666666668,98672.66666666669,97639.00000000004,89973.33333333337
60,102792.0,23185.333333333343,92652.66666666672,103797.33333333336,92140.66666666666
61,109342.99999999997,23628.0,100420.33333333334,97636.99999999999,95385.6666666667
62,110835.00000000001,23235.333333333336,108335.3333333333,82665.66666666669,97648.0
63,102605.66666666672,24325.000000000007,103954.66666666673,69079.66666666667,79359.33333333336
64,108369.33333333337,22246.33333333334,104169.00000000001,69395.0,106059.66666666666
65,104442.3333333333,23403.66666666668,100666.33333333333,103570.99999999997,94804.0
66,107702.66666666663,24182.33333333334,108322.00000000001,103620.33333333333,66930.00000000004
67,105064.99999999999,22231.666666666675,97893.33333333333,100559.0,104075.66666666669
68,100015.00000000001,20811.666666666675,103425.33333333342,97063.6666666667,99072.00000000001
69,108168.66666666669,21437.333333333336,108467.66666666666,98899.66666666667,88529.99999999997
70,104012.99999999994,23250.333333333336,92463.33333333339,70644.66666666669,103575.0000000001
71,106062.33333333336,22099.00000000001,92369.33333333337,90520.33333333334,75283.00000000003
72,108250.0,23711.000000000004,100807.66666666667,98770.66666666669,97935.66666666661
73,105923.33333333333,22833.00000000001,85353.3333333333,91112.33333333337,78156.33333333333
74,107338.00000000003,21328.000000000004,104162.6666666666,79610.66666666666,87840.33333333333
75,110579.33333333334,23792.66666666667,88814.0,96256.66666666672,102825.00000000001
76,107174.33333333337,22829.666666666668,102374.99999999997,73217.33333333337,92924.00000000004
77,104533.33333333333,24168.33333333334,101100.66666666664,104716.33333333334,100941.66666666667
78,103033.0,23703.333333333343,102509.0,104524.00000000001,101284.66666666672
79,105847.33333333334,22790.333333333343,84111.99999999999,106307.66666666664,94520.66666666666
80,107366.66666666669,24492.000000000004,90911.66666666664,99805.66666666667,102938.66666666664
81,99286.0,21636.0,98269.66666666672,74444.00000000003,93930.00000000003
82,107004.66666666672,23972.66666666667,105311.00000000004,98904.00000000001,98857.66666666669
83,105462.66666666667,23328.333333333343,111126.66666666667,94178.99999999996,90244.66666666666
84,100554.6666666667,22666.00000000001,101788.33333333337,92630.99999999997,97022.66666666666
85,106169.66666666667,21284.333333333343,97909.66666666666,90604.33333333333,71977.66666666669
86,102789.66666666667,23443.66666666667,100988.00000000004,89596.33333333336,98956.33333333336
87,104915.99999999997,23160.333333333336,103505.6666666667,96603.33333333337,93418.00000000003
88,107399.33333333333,24390.000000000007,98674.6666666667,94211.33333333333,104236.33333333336
89,105184.33333333339,23975.000000000004,110243.33333333328,100693.66666666669,99173.3333333333
90,108301.3333333333,23322.666666666675,95733.66666666666,105325.0,99437.66666666669
91,105306.6666666666,22252.000000000007,101256.66666666672,84905.66666666666,92098.0
92,99111.33333333339,23187.666666666675,102362.33333333334,98783.66666666669,102371.00000000004
93,103824.66666666666,24014.33333333334,98215.66666666669,105681.66666666667,100923.33333333336
94,105734.66666666666,24131.333333333343,100402.33333333334,98437.66666666666,80723.00000000001
95,110665.00000000004,22274.000000000004,91956.0,97583.66666666666,99831.0
96,103585.33333333333,23755.33333333334,102076.66666666669,102962.33333333333,108010.66666666669
97,103297.33333333337,22333.000000000007,102761.66666666666,103571.33333333333,102357.3333333334
98,108170.0,20711.66666666667,99428.33333333334,89947.00000000001,98782.66666666664
99,101655.66666666667,22309.333333333332,101034.00000000003,99239.33333333337,94056.0
100,108505.33333333333,22811.000000000007,101344.0,81458.00000000004,98658.66666666663
101,104911.33333333339,22159.333333333343,101335.6666666667,90705.33333333334,96531.66666666669
102,106741.99999999996,20805.000000000007,105158.33333333331,100260.0,97239.0
103,97220.33333333334,22437.666666666675,103641.66666666669,102683.99999999999,84181.99999999999
104,109411.00000000004,22494.333333333343,103198.00000000001,98105.66666666666,98875.00000000001
105,106925.00000000001,23805.66666666667,104434.33333333331,100059.66666666663,101660.33333333337
106,107887.00000000001,21814.66666666667,103266.33333333334,95939.33333333336,81275.99999999999
107,102790.33333333333,23715.000000000004,97581.00000000001,105614.33333333334,105528.00000000003
108,85167.00000000004,22906.0,103853.66666666669,97958.0,102163.33333333336
109,102757.0,22350.000000000007,104383.33333333331,96789.66666666666,97093.33333333336
110,108212.00000000001,22194.666666666668,101681.33333333333,102366.6666666667,90456.66666666667
111,107566.99999999999,20938.000000000007,105015.0,96767.33333333331,102075.6666666667
112,107824.66666666666,21970.000000000004,100024.33333333334,103752.33333333331,99180.33333333337
113,106535.33333333339,22497.333333333343,110639.33333333336,97334.33333333333,103154.3333333333
114,108778.33333333331,23896.000000000004,101344.00000000003,103722.6666666667,80018.00000000003
115,95523.66666666673,24118.000000000004,99810.66666666667,88972.0,92659.33333333336
116,100022.6666666667,24037.666666666675,92799.6666666667,98002.33333333334,86477.66666666669
117,107274.66666666667,23503.33333333334,86620.00000000001,97917.3333333333,97683.33333333333
118,105002.99999999997,25258.000000000007,101692.66666666664,104932.6666666667,90133.33333333336
119,100901.66666666667,21931.000000000004,110710.33333333333,103792.33333333334,87087.66666666663
120,101693.00000000004,21911.33333333334,108444.00000000004,103134.33333333336,105171.33333333333
121,103609.6666666667,22052.333333333336,103634.00000000003,85190.33333333339,52509.6666666667
122,105932.33333333334,23701.000000000007,94445.00000000003,102620.3333333333,87601.33333333336
123,107222.99999999999,22987.000000000004,102689.3333333333,99273.66666666669,97571.66666666664
124,104222.99999999994,24931.66666666667,95469.6666666667,107360.33333333334,99423.99999999999
125,94789.33333333331,24367.333333333336,94273.33333333334,105520.0,97678.33333333337
126,104985.33333333339,20392.33333333334,100023.33333333339,102214.66666666666,106451.33333333337
127,99530.33333333333,22971.33333333334,95024.6666666667,96995.66666666666,102294.66666666663
128,102775.33333333334,21437.000000000007,101474.33333333334,106564.00000000004,96673.33333333339
129,106483.66666666664,23782.333333333332,107732.66666666667,105374.0,90738.66666666669
130,101917.66666666669,21928.66666666667,97634.00000000004,88184.6666666667,89481.00000000001
131,102076.99999999999,23563.333333333336,97124.33333333334,70311.33333333334,98908.33333333334
132,105237.33333333336,23386.66666666668,102524.33333333334,96397.0,104524.99999999999
133,107121.99999999999,24334.000000000007,97384.66666666669,104838.33333333334,89857.66666666666
134,106174.33333333336,22355.0,99001.6666666667,97555.33333333333,102914.0
135,105041.0,22609.333333333336,102940.6666666667,98080.99999999999,90227.33333333336
136,108222.6666666667,22155.666666666675,102116.3333333333,103082.66666666661,101126.66666666663
137,99420.00000000001,25749.33333333334,104597.00000000003,95906.66666666666,98416.66666666669
138,105440.33333333331,21435.000000000004,102528.66666666666,107363.00000000003,86282.0
139,83779.00000000001,23365.000000000004,99296.66666666667,104652.66666666667,98607.0
140,98505.66666666669,21438.000000000004,97276.0,92936.66666666664,100837.33333333331
141,108486.33333333334,22821.000000000004,105520.66666666672,108095.99999999997,97572.33333333333
142,108005.33333333337,22149.333333333347,103628.33333333339,98557.66666666669,81043.6666666667
143,108660.6666666666,23306.66666666667,107752.33333333328,102473.00000000001,92845.00000000003
144,100673.33333333333,23134.66666666667,101901.66666666666,105343.33333333331,99484.00000000003
145,107874.33333333333,22801.666666666668,102152.66666666666,96196.33333333334,102478.66666666664
146,105033.33333333337,23082.33333333334,101728.66666666669,100001.33333333333,97451.66666666667
147,102139.66666666669,24185.33333333334,108362.00000000006,98936.33333333334,97230.33333333339
148,106286.66666666663,22797.333333333336,109803.33333333331,104640.33333333333,80799.33333333333
149,105624.33333333339,22158.000000000015,112838.66666666664,93280.33333333333,100929.33333333339
150,110034.66666666667,22484.333333333336,99904.66666666664,103286.0,92852.66666666669
151,100358.00000000001,21630.000000000004,99228.0,100830.66666666667,74263.33333333334
152,105161.33333333331,22407.000000000007,106615.0,100529.6666666667,96741.33333333337
153,100753.33333333334,20619.000000000007,101441.33333333334,70200.33333333336,93836.66666666672
154,109640.99999999994,24151.000000000004,94923.0,105554.33333333336,84465.6666666667
155,102163.66666666672,23250.66666666667,97606.3333333333,103533.00000000004,94645.66666666667
156,106443.66666666672,23576.00000000001,99152.00000000004,102311.66666666666,98289.33333333331
