,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,s_DC1_1,s_DC1_2,s_DC1_3,s_DC1_4,s_DC1_5,s_DC1_6,s_DC1_7,s_DC1_8,s_DC1_9,s_DC1_10,s_DC1_11,s_DC1_12,S_DC1_1,S_DC1_2,S_DC1_3,S_DC1_4,S_DC1_5,S_DC1_6,S_DC1_7,S_DC1_8,S_DC1_9,S_DC1_10,S_DC1_11,S_DC1_12,s_DC2_1,s_DC2_2,s_DC2_3,s_DC2_4,s_DC2_5,s_DC2_6,s_DC2_7,s_DC2_8,s_DC2_9,s_DC2_10,s_DC2_11,s_DC2_12,S_DC2_1,S_DC2_2,S_DC2_3,S_DC2_4,S_DC2_5,S_DC2_6,S_DC2_7,S_DC2_8,S_DC2_9,S_DC2_10,S_DC2_11,S_DC2_12,s_r1_1,s_r1_2,s_r1_3,s_r1_4,s_r1_5,s_r1_6,s_r1_7,s_r1_8,s_r1_9,s_r1_10,s_r1_11,s_r1_12,S_r2_1,S_r2_2,S_r2_3,S_r2_4,S_r2_5,S_r2_6,S_r2_7,S_r2_8,S_r2_9,S_r2_10,S_r2_11,S_r2_12,profit
388,45350,52400,45950,46950,52500,36650,52600,134750,60650,42250,67000,16650,215045,126056,123240,187976,155178,188450,110738,203510,202204,154190,177763,191401,319590,346888,417573,443349,395777,409866,448900,418294,399560,486043,281502,448827,215045,126056,123240,187976,155178,188450,110738,203510,202204,154190,177763,191401,319590,346888,417573,443349,395777,409866,448900,418294,399560,486043,281502,448827,215045,126056,123240,187976,155178,188450,110738,203510,202204,154190,177763,191401,319590,346888,417573,443349,395777,409866,448900,418294,399560,486043,281502,448827,365367155
389,13300,9950,4850,8600,17150,32650,10250,18050,11200,21600,8750,17700,46851,33846,45878,57163,39454,43558,35529,43163,39366,44908,52248,48200,84218,120184,89362,117054,80847,123325,93365,80910,107463,120671,83919,120395,46851,33846,45878,57163,39454,43558,35529,43163,39366,44908,52248,48200,84218,120184,89362,117054,80847,123325,93365,80910,107463,120671,83919,120395,46851,33846,45878,57163,39454,43558,35529,43163,39366,44908,52248,48200,84218,120184,89362,117054,80847,123325,93365,80910,107463,120671,83919,120395,95726664
390,7650,31500,36050,11450,22500,16000,29050,21950,26200,44000,98400,74500,101266,104558,132446,94296,118557,115444,80675,134141,90091,79383,105115,136202,312422,263333,216036,237378,198745,217935,275374,261005,289877,235016,246200,210326,101266,104558,132446,94296,118557,115444,80675,134141,90091,79383,105115,136202,312422,263333,216036,237378,198745,217935,275374,261005,289877,235016,246200,210326,101266,104558,132446,94296,118557,115444,80675,134141,90091,79383,105115,136202,312422,263333,216036,237378,198745,217935,275374,261005,289877,235016,246200,210326,248415750
391,9350,39350,44350,50700,43000,14200,41250,29150,19900,43600,74200,60400,84961,100094,100404,78433,146453,82606,143506,116273,114224,83808,105591,102221,240694,240008,237972,330481,318615,262002,306905,287099,339358,346478,280273,201527,84961,100094,100404,78433,146453,82606,143506,116273,114224,83808,105591,102221,240694,240008,237972,330481,318615,262002,306905,287099,339358,346478,280273,201527,84961,100094,100404,78433,146453,82606,143506,116273,114224,83808,105591,102221,240694,240008,237972,330481,318615,262002,306905,287099,339358,346478,280273,201527,230061755
392,61450,59050,86250,145700,78100,63550,49900,40300,38050,31450,24400,55600,167259,147142,240379,201928,216220,211769,178907,199355,240661,215858,235176,195615,315024,371585,509687,323556,473150,465803,355749,359300,308989,453971,524045,523095,167259,147142,240379,201928,216220,211769,178907,199355,240661,215858,235176,195615,315024,371585,509687,323556,473150,465803,355749,359300,308989,453971,524045,523095,167259,147142,240379,201928,216220,211769,178907,199355,240661,215858,235176,195615,315024,371585,509687,323556,473150,465803,355749,359300,308989,453971,524045,523095,407294504
393,36150,48600,37700,26950,246100,483400,63700,386550,47350,39700,61900,44750,382079,379644,457892,257080,443407,371258,328329,308782,367871,411859,481469,463801,755419,821291,888045,774973,913234,935958,707702,847571,782412,830132,1036433,825418,382079,379644,457892,257080,443407,371258,328329,308782,367871,411859,481469,463801,755419,821291,888045,774973,913234,935958,707702,847571,782412,830132,1036433,825418,382079,379644,457892,257080,443407,371258,328329,308782,367871,411859,481469,463801,755419,821291,888045,774973,913234,935958,707702,847571,782412,830132,1036433,825418,780412833
394,74800,36000,66300,88500,53200,57200,40000,126900,66700,48000,75200,76500,189684,222533,205884,137158,237437,144340,165293,243206,264277,244327,147477,256487,379778,401857,547832,402361,593945,435463,463847,391748,436975,361925,465030,378449,189684,222533,205884,137158,237437,144340,165293,243206,264277,244327,147477,256487,379778,401857,547832,402361,593945,435463,463847,391748,436975,361925,465030,378449,189684,222533,205884,137158,237437,144340,165293,243206,264277,244327,147477,256487,379778,401857,547832,402361,593945,435463,463847,391748,436975,361925,465030,378449,393105755
395,56400,90400,46200,81200,225600,87100,60900,76400,80100,48400,39500,64900,258619,228023,296016,290472,238094,177506,240427,241161,241542,254574,200128,231161,477736,691668,512662,522851,614075,527735,426652,653512,570733,434364,705100,538315,258619,228023,296016,290472,238094,177506,240427,241161,241542,254574,200128,231161,477736,691668,512662,522851,614075,527735,426652,653512,570733,434364,705100,538315,258619,228023,296016,290472,238094,177506,240427,241161,241542,254574,200128,231161,477736,691668,512662,522851,614075,527735,426652,653512,570733,434364,705100,538315,423040390
396,44700,73100,35600,54600,54300,70600,65600,64400,82300,62300,47500,94600,166372,184548,145913,190443,224921,198771,151416,184139,158631,163659,128246,197433,461340,317345,322122,412177,554397,470556,552614,453295,386980,544994,510021,372684,166372,184548,145913,190443,224921,198771,151416,184139,158631,163659,128246,197433,461340,317345,322122,412177,554397,470556,552614,453295,386980,544994,510021,372684,166372,184548,145913,190443,224921,198771,151416,184139,158631,163659,128246,197433,461340,317345,322122,412177,554397,470556,552614,453295,386980,544994,510021,372684,418120458
397,42000,66400,72600,36900,54400,40500,123100,58000,37100,34800,113000,47700,167143,165096,183294,218656,142779,180898,229310,134504,197341,124734,156162,236946,456209,455673,386183,536045,336430,473751,504004,308197,443780,322828,511551,518598,167143,165096,183294,218656,142779,180898,229310,134504,197341,124734,156162,236946,456209,455673,386183,536045,336430,473751,504004,308197,443780,322828,511551,518598,167143,165096,183294,218656,142779,180898,229310,134504,197341,124734,156162,236946,456209,455673,386183,536045,336430,473751,504004,308197,443780,322828,511551,518598,404071445
398,39100,40900,30600,57600,41500,51700,31800,30100,52600,35100,39300,27700,105851,145582,95894,104627,85572,94038,80435,154136,102857,131302,133273,156245,219498,222282,250195,238498,211064,245318,318631,265963,263390,318553,240404,233623,105851,145582,95894,104627,85572,94038,80435,154136,102857,131302,133273,156245,219498,222282,250195,238498,211064,245318,318631,265963,263390,318553,240404,233623,105851,145582,95894,104627,85572,94038,80435,154136,102857,131302,133273,156245,219498,222282,250195,238498,211064,245318,318631,265963,263390,318553,240404,233623,127548298
399,67500,63000,73100,108700,68300,55400,12500,141500,237800,112500,75100,71300,329787,217431,197505,194025,275715,357984,293051,252724,285682,193713,254903,323668,680109,617501,600822,615644,604659,711773,628691,727365,751618,770714,639063,671690,329787,217431,197505,194025,275715,357984,293051,252724,285682,193713,254903,323668,680109,617501,600822,615644,604659,711773,628691,727365,751618,770714,639063,671690,329787,217431,197505,194025,275715,357984,293051,252724,285682,193713,254903,323668,680109,617501,600822,615644,604659,711773,628691,727365,751618,770714,639063,671690,547783651
400,146300,74600,30400,27700,93500,13400,60900,25800,67600,47100,122900,71300,233300,187962,236282,153285,198428,249443,205841,257709,149998,244827,169446,239319,346113,574317,415136,441313,518002,464346,393756,409237,453511,522250,562281,454439,233300,187962,236282,153285,198428,249443,205841,257709,149998,244827,169446,239319,346113,574317,415136,441313,518002,464346,393756,409237,453511,522250,562281,454439,233300,187962,236282,153285,198428,249443,205841,257709,149998,244827,169446,239319,346113,574317,415136,441313,518002,464346,393756,409237,453511,522250,562281,454439,341837244
401,50600,28400,132700,22900,36000,61100,78600,30000,58600,93900,31200,18500,111980,210399,201707,175141,129348,140007,206748,179249,157132,135450,160305,118249,362112,476122,397090,271922,404679,427101,422118,315046,376642,408327,468675,421388,111980,210399,201707,175141,129348,140007,206748,179249,157132,135450,160305,118249,362112,476122,397090,271922,404679,427101,422118,315046,376642,408327,468675,421388,111980,210399,201707,175141,129348,140007,206748,179249,157132,135450,160305,118249,362112,476122,397090,271922,404679,427101,422118,315046,376642,408327,468675,421388,270012918
402,167900,326800,143700,255700,97500,206700,275300,126900,175600,220200,61900,59600,436922,640307,474016,507955,689174,501101,632157,678291,355930,694160,582770,465001,1289780,1473980,959569,1348287,1278307,999806,1444148,1390265,1437326,1309703,1025571,1136097,436922,640307,474016,507955,689174,501101,632157,678291,355930,694160,582770,465001,1289780,1473980,959569,1348287,1278307,999806,1444148,1390265,1437326,1309703,1025571,1136097,436922,640307,474016,507955,689174,501101,632157,678291,355930,694160,582770,465001,1289780,1473980,959569,1348287,1278307,999806,1444148,1390265,1437326,1309703,1025571,1136097,1083340756
403,15600,67200,40900,41800,37800,63200,136000,99100,99100,109300,71300,23800,249108,208594,254956,220247,262548,213019,136304,236978,240495,230529,151151,248014,515682,510943,417258,592194,440718,602442,535798,576765,512126,542274,378179,407221,249108,208594,254956,220247,262548,213019,136304,236978,240495,230529,151151,248014,515682,510943,417258,592194,440718,602442,535798,576765,512126,542274,378179,407221,249108,208594,254956,220247,262548,213019,136304,236978,240495,230529,151151,248014,515682,510943,417258,592194,440718,602442,535798,576765,512126,542274,378179,407221,460991268
404,1334200,1388700,1090100,960000,1198700,1636100,1555600,812700,1084500,618800,1600900,588200,3555231,2510775,2814142,2385461,4300406,2893851,4451017,3749602,3325489,3826072,3766783,3457407,8057615,9298070,9925161,8289107,9947164,10086323,6763296,10209694,6272102,8568683,10186472,6733750,3555231,2510775,2814142,2385461,4300406,2893851,4451017,3749602,3325489,3826072,3766783,3457407,8057615,9298070,9925161,8289107,9947164,10086323,6763296,10209694,6272102,8568683,10186472,6733750,3555231,2510775,2814142,2385461,4300406,2893851,4451017,3749602,3325489,3826072,3766783,3457407,8057615,9298070,9925161,8289107,9947164,10086323,6763296,10209694,6272102,8568683,10186472,6733750,7335444669
405,1651100,1562400,1512800,1207900,1999100,1115600,1611500,1552200,1268600,624100,1374800,892900,3752479,4911646,2896423,3104711,5407094,5106510,3082142,5342128,3242106,4764948,5414433,3056146,8804930,11265264,9141853,6994139,8886110,10118720,10519137,7914992,7531581,8077826,6852714,11764843,3752479,4911646,2896423,3104711,5407094,5106510,3082142,5342128,3242106,4764948,5414433,3056146,8804930,11265264,9141853,6994139,8886110,10118720,10519137,7914992,7531581,8077826,6852714,11764843,3752479,4911646,2896423,3104711,5407094,5106510,3082142,5342128,3242106,4764948,5414433,3056146,8804930,11265264,9141853,6994139,8886110,10118720,10519137,7914992,7531581,8077826,6852714,11764843,5314528727
406,1853400,2014100,942200,605800,1362200,1831700,1402100,1172600,1437600,814200,1885200,612000,2949843,3586831,2803294,3307139,4479867,3504906,3015067,3495332,3573286,4091447,3023199,3475068,10681768,8050819,10541560,11485616,9133955,6697518,8398420,6652875,10690038,7857228,8985858,11237539,2949843,3586831,2803294,3307139,4479867,3504906,3015067,3495332,3573286,4091447,3023199,3475068,10681768,8050819,10541560,11485616,9133955,6697518,8398420,6652875,10690038,7857228,8985858,11237539,2949843,3586831,2803294,3307139,4479867,3504906,3015067,3495332,3573286,4091447,3023199,3475068,10681768,8050819,10541560,11485616,9133955,6697518,8398420,6652875,10690038,7857228,8985858,11237539,7421883680
407,1039500,751700,546200,993700,1225800,3274700,1818500,671000,763000,674100,950100,1967400,4850181,4642649,2776912,2893173,4138761,4151443,3172860,3680092,4293663,4479937,4379222,2994044,7406524,8615809,8062188,9371694,10148857,10243782,10122217,9160960,8894284,9495815,9519224,9928083,4850181,4642649,2776912,2893173,4138761,4151443,3172860,3680092,4293663,4479937,4379222,2994044,7406524,8615809,8062188,9371694,10148857,10243782,10122217,9160960,8894284,9495815,9519224,9928083,4850181,4642649,2776912,2893173,4138761,4151443,3172860,3680092,4293663,4479937,4379222,2994044,7406524,8615809,8062188,9371694,10148857,10243782,10122217,9160960,8894284,9495815,9519224,9928083,8084467616
408,1108700,1063900,385500,1021000,819800,1664600,1741500,174900,1482500,1143700,852600,1470700,3098638,3255646,2944296,3529868,3122705,3090526,3830491,2983297,2834084,3632403,3570394,3499100,7468131,7034382,6908317,7361827,5834293,5530391,9028796,8198103,6596768,6770754,8273836,7388847,3098638,3255646,2944296,3529868,3122705,3090526,3830491,2983297,2834084,3632403,3570394,3499100,7468131,7034382,6908317,7361827,5834293,5530391,9028796,8198103,6596768,6770754,8273836,7388847,3098638,3255646,2944296,3529868,3122705,3090526,3830491,2983297,2834084,3632403,3570394,3499100,7468131,7034382,6908317,7361827,5834293,5530391,9028796,8198103,6596768,6770754,8273836,7388847,4988495918
409,12550,12200,11000,6950,11750,12700,19250,12750,5900,15150,11500,8600,35078,33234,42608,23803,33128,39371,24710,43134,26860,38431,39878,31318,60906,90227,59694,61898,87228,83751,65573,72171,96953,73966,104383,73231,35078,33234,42608,23803,33128,39371,24710,43134,26860,38431,39878,31318,60906,90227,59694,61898,87228,83751,65573,72171,96953,73966,104383,73231,35078,33234,42608,23803,33128,39371,24710,43134,26860,38431,39878,31318,60906,90227,59694,61898,87228,83751,65573,72171,96953,73966,104383,73231,84664130
410,12350,9550,18400,11650,11400,12050,11400,9150,12250,12300,9300,9550,33399,37282,35593,45493,45016,39475,26716,38602,44027,27235,41673,30948,88808,84461,91560,78981,92996,70295,98629,98303,63126,87028,85850,92084,33399,37282,35593,45493,45016,39475,26716,38602,44027,27235,41673,30948,88808,84461,91560,78981,92996,70295,98629,98303,63126,87028,85850,92084,33399,37282,35593,45493,45016,39475,26716,38602,44027,27235,41673,30948,88808,84461,91560,78981,92996,70295,98629,98303,63126,87028,85850,92084,44110218
411,14250,33350,12850,9950,13150,18250,10350,8550,11400,9200,32650,11550,52702,52024,39745,46495,56068,55552,46908,50001,41290,53604,42612,53759,79717,137394,96478,122149,106583,90281,80999,90206,83261,86677,120767,78093,52702,52024,39745,46495,56068,55552,46908,50001,41290,53604,42612,53759,79717,137394,96478,122149,106583,90281,80999,90206,83261,86677,120767,78093,52702,52024,39745,46495,56068,55552,46908,50001,41290,53604,42612,53759,79717,137394,96478,122149,106583,90281,80999,90206,83261,86677,120767,78093,69455439
412,14750,24300,11550,10100,50200,21200,12850,7450,21500,17300,8500,8550,58558,65447,57449,35031,41284,46206,39909,35078,55293,37443,43513,48430,139503,127612,130992,136407,155294,96847,119352,103077,107178,96451,145313,108121,58558,65447,57449,35031,41284,46206,39909,35078,55293,37443,43513,48430,139503,127612,130992,136407,155294,96847,119352,103077,107178,96451,145313,108121,58558,65447,57449,35031,41284,46206,39909,35078,55293,37443,43513,48430,139503,127612,130992,136407,155294,96847,119352,103077,107178,96451,145313,108121,125795263
413,10300,17200,12600,11500,13900,41350,11750,8650,15000,8050,9400,9200,54610,34067,29334,29872,41644,44265,42201,53709,43115,45573,51169,47390,84921,105320,112705,79924,79429,122398,79213,85676,95813,116422,122294,104656,54610,34067,29334,29872,41644,44265,42201,53709,43115,45573,51169,47390,84921,105320,112705,79924,79429,122398,79213,85676,95813,116422,122294,104656,54610,34067,29334,29872,41644,44265,42201,53709,43115,45573,51169,47390,84921,105320,112705,79924,79429,122398,79213,85676,95813,116422,122294,104656,97107384
414,83200,104300,99400,49500,111000,67400,122200,104400,62300,122500,40200,107100,296967,267093,218124,208175,350259,288353,335474,181471,215187,210441,352000,337389,631364,469755,667571,560486,473219,487760,632247,778484,519282,675197,562137,547686,296967,267093,218124,208175,350259,288353,335474,181471,215187,210441,352000,337389,631364,469755,667571,560486,473219,487760,632247,778484,519282,675197,562137,547686,296967,267093,218124,208175,350259,288353,335474,181471,215187,210441,352000,337389,631364,469755,667571,560486,473219,487760,632247,778484,519282,675197,562137,547686,487039082
415,117300,131200,91500,150600,109800,124300,111600,99900,88100,122200,105600,101300,411014,396578,333298,367200,261698,428248,273036,387596,318226,242565,300271,247869,610224,1006791,742872,833333,916074,865812,953096,905414,887249,959836,844367,877373,411014,396578,333298,367200,261698,428248,273036,387596,318226,242565,300271,247869,610224,1006791,742872,833333,916074,865812,953096,905414,887249,959836,844367,877373,411014,396578,333298,367200,261698,428248,273036,387596,318226,242565,300271,247869,610224,1006791,742872,833333,916074,865812,953096,905414,887249,959836,844367,877373,485770187
416,147800,114900,80100,88400,119700,95100,137200,64600,97600,72600,117300,100900,251537,410786,212534,234545,383681,361684,301778,294819,298681,320096,275195,257649,890565,791707,845437,603365,702288,546989,730609,592604,682392,868338,534797,682902,251537,410786,212534,234545,383681,361684,301778,294819,298681,320096,275195,257649,890565,791707,845437,603365,702288,546989,730609,592604,682392,868338,534797,682902,251537,410786,212534,234545,383681,361684,301778,294819,298681,320096,275195,257649,890565,791707,845437,603365,702288,546989,730609,592604,682392,868338,534797,682902,567040714
417,109900,183100,53200,124200,83900,164000,126800,118200,63200,168200,94200,69200,313149,344630,349045,309073,339909,334011,369527,326844,304685,401109,432204,344453,628710,621387,624409,934503,907869,965882,894281,1015143,790419,999333,576529,689323,313149,344630,349045,309073,339909,334011,369527,326844,304685,401109,432204,344453,628710,621387,624409,934503,907869,965882,894281,1015143,790419,999333,576529,689323,313149,344630,349045,309073,339909,334011,369527,326844,304685,401109,432204,344453,628710,621387,624409,934503,907869,965882,894281,1015143,790419,999333,576529,689323,417951439
418,64400,142800,108200,90200,131000,159800,115400,130700,95900,59100,106100,120900,374290,379682,280437,417220,266572,378919,291277,329279,293550,435918,360574,367955,869411,591022,577154,679714,678999,609011,611499,720159,964277,585936,676395,882661,374290,379682,280437,417220,266572,378919,291277,329279,293550,435918,360574,367955,869411,591022,577154,679714,678999,609011,611499,720159,964277,585936,676395,882661,374290,379682,280437,417220,266572,378919,291277,329279,293550,435918,360574,367955,869411,591022,577154,679714,678999,609011,611499,720159,964277,585936,676395,882661,451596830
419,324,364,168,176,836,261,711,504,431,352,279,649,1497,1558,918,925,1194,1635,1517,986,1624,1423,1666,1126,3481,3178,2623,2627,2717,2126,3034,3175,2690,2505,2343,3399,1497,1558,918,925,1194,1635,1517,986,1624,1423,1666,1126,3481,3178,2623,2627,2717,2126,3034,3175,2690,2505,2343,3399,1497,1558,918,925,1194,1635,1517,986,1624,1423,1666,1126,3481,3178,2623,2627,2717,2126,3034,3175,2690,2505,2343,3399,2835305
420,894,413,392,483,241,618,771,353,645,217,673,291,1363,1764,1614,1097,1191,1169,1793,1332,1379,1089,1222,1015,4477,3273,2862,3078,3071,4381,3384,2832,2855,2670,3562,4378,1363,1764,1614,1097,1191,1169,1793,1332,1379,1089,1222,1015,4477,3273,2862,3078,3071,4381,3384,2832,2855,2670,3562,4378,1363,1764,1614,1097,1191,1169,1793,1332,1379,1089,1222,1015,4477,3273,2862,3078,3071,4381,3384,2832,2855,2670,3562,4378,2142557
421,470,449,694,205,742,887,266,635,204,404,450,455,1341,1668,1296,1131,1146,1756,1801,1096,1286,1817,1697,1200,2709,2887,2464,2546,4272,3943,3176,3418,3864,2474,3499,3923,1341,1668,1296,1131,1146,1756,1801,1096,1286,1817,1697,1200,2709,2887,2464,2546,4272,3943,3176,3418,3864,2474,3499,3923,1341,1668,1296,1131,1146,1756,1801,1096,1286,1817,1697,1200,2709,2887,2464,2546,4272,3943,3176,3418,3864,2474,3499,3923,2344628
422,566,352,574,369,470,997,321,601,289,188,545,277,1810,1006,1720,928,1587,1625,947,1776,1358,1544,1526,1540,2510,2562,2803,3984,4117,3818,3930,3097,2805,3316,3727,3923,1810,1006,1720,928,1587,1625,947,1776,1358,1544,1526,1540,2510,2562,2803,3984,4117,3818,3930,3097,2805,3316,3727,3923,1810,1006,1720,928,1587,1625,947,1776,1358,1544,1526,1540,2510,2562,2803,3984,4117,3818,3930,3097,2805,3316,3727,3923,2921156
423,55,513,481,106,650,876,647,83,487,175,116,563,949,1452,1407,1549,971,1379,866,1582,1419,929,812,853,2057,3045,2615,2326,2030,3285,3255,2087,3543,2303,2608,2867,949,1452,1407,1549,971,1379,866,1582,1419,929,812,853,2057,3045,2615,2326,2030,3285,3255,2087,3543,2303,2608,2867,949,1452,1407,1549,971,1379,866,1582,1419,929,812,853,2057,3045,2615,2326,2030,3285,3255,2087,3543,2303,2608,2867,2121909
424,38300,18800,75000,28700,67500,92200,65000,77700,98100,35800,52600,14100,134387,216941,191905,170463,133585,216163,116218,191920,120192,199337,118112,162348,387212,283947,389302,322373,360885,349419,286097,387180,296221,341250,452791,394348,134387,216941,191905,170463,133585,216163,116218,191920,120192,199337,118112,162348,387212,283947,389302,322373,360885,349419,286097,387180,296221,341250,452791,394348,134387,216941,191905,170463,133585,216163,116218,191920,120192,199337,118112,162348,387212,283947,389302,322373,360885,349419,286097,387180,296221,341250,452791,394348,411970640
425,28200,25300,67500,71600,26300,47000,45700,56200,42100,50600,59700,103100,122218,193336,176044,128552,183711,105620,143341,164700,104748,110104,107339,149965,368811,410488,274700,354553,337532,313892,395490,426636,403348,340372,439158,419170,122218,193336,176044,128552,183711,105620,143341,164700,104748,110104,107339,149965,368811,410488,274700,354553,337532,313892,395490,426636,403348,340372,439158,419170,122218,193336,176044,128552,183711,105620,143341,164700,104748,110104,107339,149965,368811,410488,274700,354553,337532,313892,395490,426636,403348,340372,439158,419170,393897578
426,94000,68800,144800,72700,60000,64400,83400,143400,21100,55700,83400,48300,273201,313176,217486,219244,189029,240250,182253,218277,184914,167530,277576,311765,472698,666271,396607,447702,645827,577568,700209,690758,695498,493340,490402,632853,273201,313176,217486,219244,189029,240250,182253,218277,184914,167530,277576,311765,472698,666271,396607,447702,645827,577568,700209,690758,695498,493340,490402,632853,273201,313176,217486,219244,189029,240250,182253,218277,184914,167530,277576,311765,472698,666271,396607,447702,645827,577568,700209,690758,695498,493340,490402,632853,510827227
427,40500,3600,103400,102900,119400,50700,94300,75000,146000,78300,58400,55800,215865,297570,255801,170371,264002,191315,262327,289810,240573,221309,195696,242848,458812,554539,533856,464072,693276,589924,676597,449403,456576,495484,598803,434015,215865,297570,255801,170371,264002,191315,262327,289810,240573,221309,195696,242848,458812,554539,533856,464072,693276,589924,676597,449403,456576,495484,598803,434015,215865,297570,255801,170371,264002,191315,262327,289810,240573,221309,195696,242848,458812,554539,533856,464072,693276,589924,676597,449403,456576,495484,598803,434015,519672563
428,5400,85300,87100,83600,104400,4700,104200,55000,54100,62300,25600,82300,170787,216121,153052,160394,245806,175914,195174,207747,229546,219754,203799,151710,525641,468210,449389,326968,335793,431094,338519,457651,561695,346495,323638,435845,170787,216121,153052,160394,245806,175914,195174,207747,229546,219754,203799,151710,525641,468210,449389,326968,335793,431094,338519,457651,561695,346495,323638,435845,170787,216121,153052,160394,245806,175914,195174,207747,229546,219754,203799,151710,525641,468210,449389,326968,335793,431094,338519,457651,561695,346495,323638,435845,236763286
429,134000,195000,170000,192000,159000,175000,137000,106000,207000,85000,173000,194000,576483,478261,478399,508856,538149,378235,477933,469763,549633,428649,450043,529235,925189,926251,1390397,1065250,1442391,899338,949847,1080660,859295,1355624,807264,1340183,576483,478261,478399,508856,538149,378235,477933,469763,549633,428649,450043,529235,925189,926251,1390397,1065250,1442391,899338,949847,1080660,859295,1355624,807264,1340183,576483,478261,478399,508856,538149,378235,477933,469763,549633,428649,450043,529235,925189,926251,1390397,1065250,1442391,899338,949847,1080660,859295,1355624,807264,1340183,1011685614
430,206000,164000,110000,103000,122000,131000,190000,146000,99000,102000,133000,162000,499936,519917,516792,324129,506271,352095,420320,442057,289575,516248,389877,484418,1128177,1149972,1223078,1030319,987821,1223960,1143780,849101,1090000,886149,826795,883100,499936,519917,516792,324129,506271,352095,420320,442057,289575,516248,389877,484418,1128177,1149972,1223078,1030319,987821,1223960,1143780,849101,1090000,886149,826795,883100,499936,519917,516792,324129,506271,352095,420320,442057,289575,516248,389877,484418,1128177,1149972,1223078,1030319,987821,1223960,1143780,849101,1090000,886149,826795,883100,425494266
431,168000,263000,202000,146000,124000,170000,253000,213000,155000,169000,74000,116000,679994,442761,357832,583452,618581,455444,609626,633905,546510,533704,395852,563541,1405303,1076215,1020688,1126365,1040946,1189677,1378759,1490214,883533,1050758,1366758,975055,679994,442761,357832,583452,618581,455444,609626,633905,546510,533704,395852,563541,1405303,1076215,1020688,1126365,1040946,1189677,1378759,1490214,883533,1050758,1366758,975055,679994,442761,357832,583452,618581,455444,609626,633905,546510,533704,395852,563541,1405303,1076215,1020688,1126365,1040946,1189677,1378759,1490214,883533,1050758,1366758,975055,989673862
432,232000,150000,105000,206000,222000,188000,94000,115000,139000,136000,93000,175000,377007,467540,338428,484019,353573,531401,356756,482629,344977,526450,330133,478141,984254,853606,898444,1353149,1019079,916058,1335730,1121096,1298005,1286976,1126605,941628,377007,467540,338428,484019,353573,531401,356756,482629,344977,526450,330133,478141,984254,853606,898444,1353149,1019079,916058,1335730,1121096,1298005,1286976,1126605,941628,377007,467540,338428,484019,353573,531401,356756,482629,344977,526450,330133,478141,984254,853606,898444,1353149,1019079,916058,1335730,1121096,1298005,1286976,1126605,941628,161974
433,123000,126000,102000,155000,114000,159000,112000,153000,110000,90000,133000,117000,447459,456439,316629,284752,288082,472730,362472,424853,368981,363437,434484,434814,1105686,710657,842207,812110,822366,983449,919823,629709,667118,790673,939372,723649,447459,456439,316629,284752,288082,472730,362472,424853,368981,363437,434484,434814,1105686,710657,842207,812110,822366,983449,919823,629709,667118,790673,939372,723649,447459,456439,316629,284752,288082,472730,362472,424853,368981,363437,434484,434814,1105686,710657,842207,812110,822366,983449,919823,629709,667118,790673,939372,723649,167635158
434,115000,100000,76000,110000,146000,95000,35000,99000,73000,113000,142000,52000,358175,221642,338586,335700,201323,359846,285936,279770,348647,213275,199192,295451,485155,820900,685816,687714,831182,774793,661994,589892,673159,589714,708719,844318,358175,221642,338586,335700,201323,359846,285936,279770,348647,213275,199192,295451,485155,820900,685816,687714,831182,774793,661994,589892,673159,589714,708719,844318,358175,221642,338586,335700,201323,359846,285936,279770,348647,213275,199192,295451,485155,820900,685816,687714,831182,774793,661994,589892,673159,589714,708719,844318,549864015
435,99000,198000,194000,277000,71000,125000,336000,316000,382000,325000,232000,82000,863623,614803,743359,729375,617601,784481,674284,843500,526831,631404,640775,461462,1108836,1955738,1766268,1360897,1910718,1496739,1790585,1169839,1654265,1939172,1629150,1938714,863623,614803,743359,729375,617601,784481,674284,843500,526831,631404,640775,461462,1108836,1955738,1766268,1360897,1910718,1496739,1790585,1169839,1654265,1939172,1629150,1938714,863623,614803,743359,729375,617601,784481,674284,843500,526831,631404,640775,461462,1108836,1955738,1766268,1360897,1910718,1496739,1790585,1169839,1654265,1939172,1629150,1938714,1564090402
436,102000,83000,482000,98000,178000,130000,353000,269000,108000,344000,386000,94000,607282,828863,779716,470145,674784,515273,583708,667356,869821,814241,636888,760736,1214470,1521048,1928522,1708838,1946787,1716733,1758000,1650704,1871705,1795713,1574299,1494675,607282,828863,779716,470145,674784,515273,583708,667356,869821,814241,636888,760736,1214470,1521048,1928522,1708838,1946787,1716733,1758000,1650704,1871705,1795713,1574299,1494675,607282,828863,779716,470145,674784,515273,583708,667356,869821,814241,636888,760736,1214470,1521048,1928522,1708838,1946787,1716733,1758000,1650704,1871705,1795713,1574299,1494675,1611511592
