,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,s_DC1_1,s_DC1_2,s_DC1_3,s_DC1_4,s_DC1_5,s_DC1_6,s_DC1_7,s_DC1_8,s_DC1_9,s_DC1_10,s_DC1_11,s_DC1_12,S_DC1_1,S_DC1_2,S_DC1_3,S_DC1_4,S_DC1_5,S_DC1_6,S_DC1_7,S_DC1_8,S_DC1_9,S_DC1_10,S_DC1_11,S_DC1_12,s_DC2_1,s_DC2_2,s_DC2_3,s_DC2_4,s_DC2_5,s_DC2_6,s_DC2_7,s_DC2_8,s_DC2_9,s_DC2_10,s_DC2_11,s_DC2_12,S_DC2_1,S_DC2_2,S_DC2_3,S_DC2_4,S_DC2_5,S_DC2_6,S_DC2_7,S_DC2_8,S_DC2_9,S_DC2_10,S_DC2_11,S_DC2_12,s_r1_1,s_r1_2,s_r1_3,s_r1_4,s_r1_5,s_r1_6,s_r1_7,s_r1_8,s_r1_9,s_r1_10,s_r1_11,s_r1_12,S_r2_1,S_r2_2,S_r2_3,S_r2_4,S_r2_5,S_r2_6,S_r2_7,S_r2_8,S_r2_9,S_r2_10,S_r2_11,S_r2_12,profit
569,67100,53200,46800,63000,65300,71400,77900,124300,93200,57600,49700,54400,262947,215202,257414,148859,251426,253775,150694,171153,257816,263252,248670,146668,527658,392852,545463,394105,581512,448208,450117,422908,560111,460088,424034,502603,262947,215202,257414,148859,251426,253775,150694,171153,257816,263252,248670,146668,527658,392852,545463,394105,581512,448208,450117,422908,560111,460088,424034,502603,262947,215202,257414,148859,251426,253775,150694,171153,257816,263252,248670,146668,527658,392852,545463,394105,581512,448208,450117,422908,560111,460088,424034,502603,379428928
570,45400,124700,123100,111400,43900,87500,61200,75800,63900,89700,63900,88000,182626,167042,298063,192523,298837,292643,201152,210690,262951,325016,202738,248694,524158,446692,643013,484113,661238,570363,509506,642333,618404,572469,450163,723369,182626,167042,298063,192523,298837,292643,201152,210690,262951,325016,202738,248694,524158,446692,643013,484113,661238,570363,509506,642333,618404,572469,450163,723369,182626,167042,298063,192523,298837,292643,201152,210690,262951,325016,202738,248694,524158,446692,643013,484113,661238,570363,509506,642333,618404,572469,450163,723369,286888996
571,83400,59900,63300,116900,107100,90100,89800,93500,91900,66200,63500,226800,239788,369906,202121,363517,287366,313329,235829,235961,252071,304579,376358,275124,697324,542574,504262,522273,522072,500787,745750,644917,625975,576109,662258,796547,239788,369906,202121,363517,287366,313329,235829,235961,252071,304579,376358,275124,697324,542574,504262,522273,522072,500787,745750,644917,625975,576109,662258,796547,239788,369906,202121,363517,287366,313329,235829,235961,252071,304579,376358,275124,697324,542574,504262,522273,522072,500787,745750,644917,625975,576109,662258,796547,639159606
572,154500,107500,41600,71800,95200,128300,69900,102500,73300,94500,97500,87200,228931,192002,329204,264732,217539,362094,316699,258088,309215,259499,373261,292882,706625,809862,723404,472313,545262,624287,804459,658687,646606,776287,611802,740655,228931,192002,329204,264732,217539,362094,316699,258088,309215,259499,373261,292882,706625,809862,723404,472313,545262,624287,804459,658687,646606,776287,611802,740655,228931,192002,329204,264732,217539,362094,316699,258088,309215,259499,373261,292882,706625,809862,723404,472313,545262,624287,804459,658687,646606,776287,611802,740655,535077290
573,77400,140700,178600,177600,86700,51900,82200,111000,121100,97800,137700,160200,294549,405131,237608,472639,388104,344979,245424,271088,469524,451867,241421,298413,669626,953660,744253,1012658,792645,646586,976511,773535,821194,733557,649472,1033957,294549,405131,237608,472639,388104,344979,245424,271088,469524,451867,241421,298413,669626,953660,744253,1012658,792645,646586,976511,773535,821194,733557,649472,1033957,294549,405131,237608,472639,388104,344979,245424,271088,469524,451867,241421,298413,669626,953660,744253,1012658,792645,646586,976511,773535,821194,733557,649472,1033957,609156153
574,31700,34200,44500,29400,43600,31000,36100,37000,23900,55800,19100,30400,85076,81257,103400,75818,117322,78171,105371,133146,87978,73107,125243,96960,239418,293129,192288,221609,260556,307321,275185,212370,234545,294035,187692,226932,85076,81257,103400,75818,117322,78171,105371,133146,87978,73107,125243,96960,239418,293129,192288,221609,260556,307321,275185,212370,234545,294035,187692,226932,85076,81257,103400,75818,117322,78171,105371,133146,87978,73107,125243,96960,239418,293129,192288,221609,260556,307321,275185,212370,234545,294035,187692,226932,147658521
575,25900,86300,56700,45300,65600,31000,46100,43700,53600,53000,49100,43700,132879,165220,166835,143134,168095,176743,185531,103773,135218,197632,149484,172762,421443,270296,341667,357237,421382,447393,294318,311850,433180,285105,328166,321451,132879,165220,166835,143134,168095,176743,185531,103773,135218,197632,149484,172762,421443,270296,341667,357237,421382,447393,294318,311850,433180,285105,328166,321451,132879,165220,166835,143134,168095,176743,185531,103773,135218,197632,149484,172762,421443,270296,341667,357237,421382,447393,294318,311850,433180,285105,328166,321451,218007237
576,51200,59700,43200,57800,69400,54500,51500,50900,57600,47000,34800,63800,112782,206719,168983,132215,115619,160057,180674,108309,198150,140390,113017,151233,473141,430315,464587,341397,384665,479382,290446,442019,369378,351343,450475,445927,112782,206719,168983,132215,115619,160057,180674,108309,198150,140390,113017,151233,473141,430315,464587,341397,384665,479382,290446,442019,369378,351343,450475,445927,112782,206719,168983,132215,115619,160057,180674,108309,198150,140390,113017,151233,473141,430315,464587,341397,384665,479382,290446,442019,369378,351343,450475,445927,232241959
577,46300,64200,44100,63100,64000,43500,73800,41900,73900,68000,66700,44600,186166,178791,160784,218789,164225,160316,124412,198900,161841,172872,159060,206105,345297,400033,453188,328755,318088,360093,401323,466399,362752,511190,324085,339393,186166,178791,160784,218789,164225,160316,124412,198900,161841,172872,159060,206105,345297,400033,453188,328755,318088,360093,401323,466399,362752,511190,324085,339393,186166,178791,160784,218789,164225,160316,124412,198900,161841,172872,159060,206105,345297,400033,453188,328755,318088,360093,401323,466399,362752,511190,324085,339393,300018755
578,56700,62600,93700,45200,64800,60700,62400,52600,65200,49000,62500,54300,179722,176478,224338,149134,236204,235055,182836,148570,243157,198486,146002,173798,408335,453608,424810,515630,522785,331070,446827,307950,495667,483926,396447,460277,179722,176478,224338,149134,236204,235055,182836,148570,243157,198486,146002,173798,408335,453608,424810,515630,522785,331070,446827,307950,495667,483926,396447,460277,179722,176478,224338,149134,236204,235055,182836,148570,243157,198486,146002,173798,408335,453608,424810,515630,522785,331070,446827,307950,495667,483926,396447,460277,372175349
579,249600,106700,71100,132100,165900,132500,102700,102200,429400,82700,79700,66000,533973,409656,528069,354276,546895,495127,522505,491758,522393,562412,471109,363032,901385,1210499,1223835,1121561,1067414,1008937,1249746,895651,819163,874319,784287,1265329,533973,409656,528069,354276,546895,495127,522505,491758,522393,562412,471109,363032,901385,1210499,1223835,1121561,1067414,1008937,1249746,895651,819163,874319,784287,1265329,533973,409656,528069,354276,546895,495127,522505,491758,522393,562412,471109,363032,901385,1210499,1223835,1121561,1067414,1008937,1249746,895651,819163,874319,784287,1265329,851255233
580,89800,95700,183200,187100,134800,127700,80400,89800,159100,198600,108200,206100,487807,320147,291836,495323,545732,547103,539448,312154,302170,458865,413170,461650,781906,724640,1005249,1061056,851830,727357,1104692,1151684,940682,1175742,1111244,804454,487807,320147,291836,495323,545732,547103,539448,312154,302170,458865,413170,461650,781906,724640,1005249,1061056,851830,727357,1104692,1151684,940682,1175742,1111244,804454,487807,320147,291836,495323,545732,547103,539448,312154,302170,458865,413170,461650,781906,724640,1005249,1061056,851830,727357,1104692,1151684,940682,1175742,1111244,804454,657902582
581,223000,243500,228200,123700,160300,222100,216100,92200,150000,169900,202000,159000,639337,406049,507077,408599,452331,585599,500715,375804,390807,395920,663410,595316,1238833,1016184,1510799,1428009,1102167,918247,1368500,1514529,1116816,1092900,1464021,1184839,639337,406049,507077,408599,452331,585599,500715,375804,390807,395920,663410,595316,1238833,1016184,1510799,1428009,1102167,918247,1368500,1514529,1116816,1092900,1464021,1184839,639337,406049,507077,408599,452331,585599,500715,375804,390807,395920,663410,595316,1238833,1016184,1510799,1428009,1102167,918247,1368500,1514529,1116816,1092900,1464021,1184839,825599910
582,136500,161700,211900,148100,142000,126700,187800,147900,299700,180100,134800,152700,641956,544294,420282,431993,601642,491851,583396,533994,365024,468352,350141,605642,933822,1085965,871199,866722,1258785,950783,1521357,1313202,1496601,1112510,1444540,900103,641956,544294,420282,431993,601642,491851,583396,533994,365024,468352,350141,605642,933822,1085965,871199,866722,1258785,950783,1521357,1313202,1496601,1112510,1444540,900103,641956,544294,420282,431993,601642,491851,583396,533994,365024,468352,350141,605642,933822,1085965,871199,866722,1258785,950783,1521357,1313202,1496601,1112510,1444540,900103,1111101401
583,149800,210100,147000,115100,141200,174800,159400,129000,178800,213000,154500,184200,455533,501064,432062,501089,638103,597843,614293,469936,479700,432800,384565,475508,864367,1240459,953859,1260048,1162197,1000080,1205687,1211537,850532,930368,954540,1017181,455533,501064,432062,501089,638103,597843,614293,469936,479700,432800,384565,475508,864367,1240459,953859,1260048,1162197,1000080,1205687,1211537,850532,930368,954540,1017181,455533,501064,432062,501089,638103,597843,614293,469936,479700,432800,384565,475508,864367,1240459,953859,1260048,1162197,1000080,1205687,1211537,850532,930368,954540,1017181,978804340
584,140300,146700,135300,214900,143900,191300,95500,193200,223600,207100,221100,121300,486506,343249,598978,647391,661245,457318,428262,634987,472609,633482,526118,361828,1283890,1050766,1063505,1067057,1164873,1284471,1162747,1258739,1010600,1035211,911241,1269595,486506,343249,598978,647391,661245,457318,428262,634987,472609,633482,526118,361828,1283890,1050766,1063505,1067057,1164873,1284471,1162747,1258739,1010600,1035211,911241,1269595,486506,343249,598978,647391,661245,457318,428262,634987,472609,633482,526118,361828,1283890,1050766,1063505,1067057,1164873,1284471,1162747,1258739,1010600,1035211,911241,1269595,717288246
